Price Period,Town,Super,Diesel,Kerosene
 15th November 2021 - 14th December 2021,Mombasa,127.46,108.36,101.29
 15th November 2021 - 14th December 2021,Kilifi,128.17,109.07,102.01
 15th November 2021 - 14th December 2021,Likoni Mainland,127.82,108.71,101.65
 15th November 2021 - 14th December 2021,Kwale,127.82,108.71,101.65
 15th November 2021 - 14th December 2021,Malindi,128.39,109.27,102.21
 15th November 2021 - 14th December 2021,Lungalunga,128.53,109.43,102.36
 15th November 2021 - 14th December 2021,Voi,128.94,109.84,102.76
 15th November 2021 - 14th December 2021,Taveta,130.36,111.24,104.18
 15th November 2021 - 14th December 2021,Lamu,130.77,111.65,104.59
 15th November 2021 - 14th December 2021,Hola,131.05,111.94,104.88
 15th November 2021 - 14th December 2021,Nairobi,129.72,110.60,103.54
 15th November 2021 - 14th December 2021,Thika,129.72,110.60,103.54
 15th November 2021 - 14th December 2021,Machakos,129.95,110.84,103.78
 15th November 2021 - 14th December 2021,Kajiado,130.13,111.01,103.95
 15th November 2021 - 14th December 2021,Makuyu,130.00,110.88,103.82
 15th November 2021 - 14th December 2021,Muranga,130.24,111.12,104.06
 15th November 2021 - 14th December 2021,Sagana,130.45,111.34,104.27
 15th November 2021 - 14th December 2021,Embu,130.82,111.70,104.64
 15th November 2021 - 14th December 2021,Kerugoya,130.73,111.63,104.57
 15th November 2021 - 14th December 2021,Narok,131.10,111.99,104.92
 15th November 2021 - 14th December 2021,Nyeri,131.09,111.97,104.91
 15th November 2021 - 14th December 2021,Namanga,131.25,112.15,105.07
 15th November 2021 - 14th December 2021,Kiganjo,131.05,111.93,104.87
 15th November 2021 - 14th December 2021,Chuka,131.35,112.23,105.17
 15th November 2021 - 14th December 2021,Kitui,131.24,112.13,105.06
 15th November 2021 - 14th December 2021,Mwingi,131.63,112.51,105.45
 15th November 2021 - 14th December 2021,Nanyuki,131.64,112.54,105.46
 15th November 2021 - 14th December 2021,Nkubu,132.61,113.50,106.43
 15th November 2021 - 14th December 2021,Mtito Andei,132.15,113.03,105.97
 15th November 2021 - 14th December 2021,Meru,132.81,113.69,106.63
 15th November 2021 - 14th December 2021,Isiolo,132.67,113.55,106.49
 15th November 2021 - 14th December 2021,Maua,133.26,114.15,107.08
 15th November 2021 - 14th December 2021,Garissa,133.88,114.77,107.71
 15th November 2021 - 14th December 2021,Marsabit,137.57,118.45,111.39
 15th November 2021 - 14th December 2021,Liboi,136.65,117.54,110.47
 15th November 2021 - 14th December 2021,Moyale,139.15,120.03,112.97
 15th November 2021 - 14th December 2021,Sololo,138.20,119.09,112.03
 15th November 2021 - 14th December 2021,Habaswein,136.57,117.46,110.40
 15th November 2021 - 14th December 2021,Dadaab,135.27,116.15,109.09
 15th November 2021 - 14th December 2021,Tarbaj,138.82,119.71,112.64
 15th November 2021 - 14th December 2021,Elwak,140.42,121.32,114.25
 15th November 2021 - 14th December 2021,Wajir,138.97,119.87,112.80
 15th November 2021 - 14th December 2021,Modogashe,136.72,117.60,110.54
 15th November 2021 - 14th December 2021,Mandera,142.75,123.64,116.58
 15th November 2021 - 14th December 2021,Nakuru,129.24,110.43,103.39
 15th November 2021 - 14th December 2021,Gilgil,129.21,110.39,103.36
 15th November 2021 - 14th December 2021,Mogotio,129.20,110.38,103.33
 15th November 2021 - 14th December 2021,Molo,129.29,110.46,103.43
 15th November 2021 - 14th December 2021,Olenguruone,129.99,111.16,104.13
 15th November 2021 - 14th December 2021,Londiani,129.50,110.69,103.65
 15th November 2021 - 14th December 2021,Nyahururu,129.49,110.68,103.64
 15th November 2021 - 14th December 2021,Archers Post,132.48,113.66,106.63
 15th November 2021 - 14th December 2021,Lodosoit,133.57,114.76,107.72
 15th November 2021 - 14th December 2021,Naivasha,129.57,110.75,103.71
 15th November 2021 - 14th December 2021,Marigat,129.97,111.15,104.11
 15th November 2021 - 14th December 2021,Kabarnet ,130.46,111.64,104.61
 15th November 2021 - 14th December 2021,Maralal,131.54,112.73,105.69
 15th November 2021 - 14th December 2021,Eldoret,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Kiplombe,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Iten,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Naiberi,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Kesses,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Kapsabet,130.14,111.34,104.28
 15th November 2021 - 14th December 2021,Webuye,130.55,111.75,104.70
 15th November 2021 - 14th December 2021,Kitale,130.49,111.68,104.63
