,15th  April 2023 to 14th  May 2023,MAXIMUM PUMP PRICES,,,,,"15th  April 2023 ?
14th  May 2023",MAXIMUM PUMP PRICES,,,,,"15th  April 2023 ?
14th  May 2023",MAXIMUM PUMP PRICES,,
,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK),,,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK),,,,"Super
Petrol (PMS)","Automotive
Diesel (AGO)",Kerosene (DPK)
,TOWNS,Ksh./L,Ksh./L,Ksh./L,,75,Gilgil,178.58,161.79,145.76,,150,Kabiyet,179.51,162.72,146.67
1,Mombasa,176.98,159.76,143.69,,76,Mogotio,178.57,161.78,145.74,,151,Cheptulu,179.93,163.15,147.1
2,Kilifi,177.69,160.47,144.41,,77,Molo,178.65,161.86,145.83,,152,Songor,180.47,163.69,147.65
3,Likoni Mainland,177.34,160.11,144.05,,78,Olenguruone,179.36,162.56,146.53,,153,Kapcherop,180.11,163.33,147.28
4,Kwale,177.34,160.11,144.05,,79,Londiani,178.88,162.09,146.05,,154,Sambalat,180.79,164.01,147.97
5,Malindi,177.9,160.67,144.61,,80,Nyahururu,178.87,162.08,146.04,,155,Arror,180.45,163.67,147.61
6,Lungalunga,178.05,160.83,144.76,,81,Archers Post,181.85,165.06,149.03,,156,Tot,180.65,163.87,147.82
7,Voi,178.46,161.24,145.17,,82,Lodosoit,182.95,166.16,150.13,,157,Kaptarakwa,179.69,162.91,146.87
8,Taveta,179.86,162.64,146.58,,83,Naivasha,178.95,162.15,146.11,,158,Kapese,182.65,165.86,149.82
9,Lamu,180.27,163.06,147,,84,Marigat,179.34,162.55,146.51,,159,Kalemngorok,182.03,165.25,149.21
10,Hola,180.57,163.34,147.28,,85,Kabarnet,179.83,163.04,147.01,,160,Marich,181.02,164.24,148.19
11,Mpeketoni,180.27,163.06,147,,86,Maralal,180.92,164.13,148.1,,161,Alale,181.5,164.72,148.68
12,Minjila,179.25,162.02,145.96,,87,Wamba,181.76,164.97,148.93,,162,Kunyao,181.17,164.39,148.34
13,Garsen,179.33,162.11,146.05,,88,Rumuruti,179.41,162.62,146.58,,163,Asilong,180.76,163.98,147.93
14,Samburu,177.28,160.06,144,,89,Eldoret,179.5,162.72,146.67,,164,Orolwo,180.79,164.01,147.97
15,Taru,177.46,160.24,144.18,,90,Kiplombe,179.5,162.72,146.67,,165,Sebit,180.74,163.96,147.92
16,Mwatate,178.79,161.57,145.51,,91,Iten,179.5,162.72,146.67,,166,Morpus,180.65,163.87,147.82
17,Wundanyi,178.96,161.74,145.68,,92,Naiberi,179.5,162.72,146.67,,167,Chepkorniswo,180.53,163.75,147.71
18,Kaloleni,177.13,159.92,143.85,,93,Kesses,179.5,162.72,146.67,,168,Kaibichbich,180.49,163.7,147.66
