Town,Super,Diesel,Kerosene
Mombasa,142.36,123.26,111.19
Kilifi,143.07,123.97,111.91
Likoni Mainland,142.72,123.61,111.55
Kwale,142.72,123.61,111.55
Malindi,143.28,124.17,112.11
Lungalunga,143.43,124.33,112.26
Voi,143.84,124.74,112.67
Taveta,145.25,126.14,114.08
Lamu,145.66,126.56,114.5
Hola,145.95,126.84,114.78
Mpeketoni,145.66,126.56,114.5
Minjila,144.63,125.52,113.46
Garsen,144.72,125.61,113.55
Samburu,142.66,123.56,111.5
Taru,142.84,123.74,111.68
Mwatate,144.18,125.07,113.01
Wundanji,144.34,125.24,113.18
Kaloleni,142.51,123.42,111.35
Marereni,143.94,124.84,112.77
Nairobi,144.62,125.5,113.44
Thika,144.62,125.51,113.44
Machakos,144.86,125.74,113.68
Kajiado,145.04,125.92,113.86
Makuyu,144.91,125.79,113.73
Muranga,145.14,126.02,113.96
Sagana,145.35,126.25,114.18
Embu,145.72,126.6,114.54
Kerugoya,145.64,126.53,114.47
Narok,146,126.9,114.83
Nyeri,145.99,126.87,114.81
Namanga,146.16,127.05,114.98
Kiganjo,145.96,126.84,114.78
Chuka,146.25,127.13,115.07
Kitui,146.15,127.04,114.97
Mwingi,146.53,127.43,115.36
Nanyuki,146.55,127.44,115.37
Nkubu,147.51,128.41,116.34
Mtito Andei,147.05,127.94,115.88
Meru,147.71,128.6,116.54
Isiolo,147.57,128.46,116.39
Maua,148.16,129.06,116.99
Garissa,148.79,129.67,117.61
Marsabit,152.47,133.35,121.29
Liboi,151.55,132.44,120.37
Moyale,154.05,134.94,122.87
Sololo,153.11,133.99,121.93
Habaswein,151.48,132.36,120.3
Dadaab,150.17,131.05,118.99
Tarbaj,153.72,134.62,122.54
Elwak,155.33,136.22,124.15
Wajir,153.88,134.77,122.71
Modogashe,151.62,132.5,120.44
Mandera,157.65,138.55,126.48
Matuu,145.52,126.4,114.34
Merti,149.96,130.85,118.79
Oldonyiro,146.97,127.86,115.79
Eldas,155.66,136.54,124.48
Bute,152.69,133.58,121.52
Hadado,151.28,132.17,120.1
Mai Mahiu,144.74,125.62,113.56
Doldo,147.31,128.2,116.13
Lamuria,146.43,127.32,115.25
Rumuruti,147.13,128.02,115.96
Sipili,147.3,128.18,116.12
Marimanti,146.92,127.81,115.75
Mutuobare,146.26,127.15,115.08
North Horr,153.43,134.32,122.25
Maikona,152.05,132.93,120.87
Kalacha,152.59,133.47,121.41
Loyangalani,152.65,133.54,121.47
Turbi,152.46,133.34,121.28
Laisamis,149.66,130.56,118.48
Merille,149.37,130.25,118.19
Korr,150.61,131.5,119.43
Nakuru,144.14,125.33,113.29
Gilgil,144.11,125.29,113.26
Mogotio,144.1,125.28,113.24
Molo,144.19,125.36,113.33
Olenguruone,144.89,126.06,114.03
Londiani,144.4,125.59,113.55
Nyahururu,144.39,125.58,113.54
Archers Post,147.38,128.56,116.53
Lodosoit,148.48,129.66,117.62
Naivasha,144.47,125.65,113.61
Marigat,144.87,126.05,114.01
Kabarnet ,145.36,126.54,114.51
Maralal,146.45,127.63,115.59
Wamba,147.29,128.47,116.43
Eldoret,145.03,126.22,114.17
Kiplombe,145.03,126.22,114.17
Iten,145.03,126.22,114.17
Naiberi,145.03,126.22,114.17
Kesses,145.03,126.22,114.17
Kapsabet,145.04,126.24,114.18
Webuye,145.45,126.65,114.6
Kitale,145.39,126.58,114.53
Kapenguria ,146.02,127.22,115.17
Bungoma,145.8,126.98,114.94
Moiben,145.04,126.24,114.18
Matunda,145.02,126.2,114.16
Burnt Forest,144.98,126.17,114.12
Tambach,145.07,126.26,114.21
Kapsowar,145.54,126.72,114.68
Chebara,145.42,126.6,114.56
Kimwarer,145.34,126.53,114.49
Timboroa,145.27,126.45,114.4
Nandi Hills,145.22,126.41,114.37
Kaiboi,145.08,126.27,114.23
Kiminini,145.57,126.77,114.71
Endebes,145.93,127.11,115.07
Saboti,145.6,126.79,114.75
Chepareria,146.23,127.43,115.37
Lomut,147.85,129.03,116.99
Burgich,146.65,127.84,115.79
Sigor,146.78,127.97,115.92
Lodwar,149.21,130.4,118.35
Kakuma,150.8,131.99,119.94
Lokichar,148.21,129.4,117.35
Kalokol,149.97,131.16,119.11
Lokori,148.57,129.77,117.72
Lokitaung,152.85,134.05,121.99
Kapedo,147.85,129.03,116.99
Malaba,146.2,127.38,115.34
Lokichogio,151.98,133.18,121.13
Ziwa,145.22,126.41,114.37
Soy,145.03,126.22,114.17
Moi's Bridge,145.09,126.28,114.24
Turbo,144.98,126.17,114.12
Kibish,153.09,134.27,122.23
Nakalale,151.91,133.1,121.05
Loima,148.32,129.52,117.47
Lokiriama,149.89,131.09,119.03
Kainuk,147.1,128.29,116.24
Kacheliba,146.42,127.62,115.57
Kiwawa,147.04,128.22,116.18
Ortum,146.62,127.81,115.76
Kachibora,145.42,126.6,114.56
Kwanza,146.13,127.32,115.28
Kaplamai,145.44,126.64,114.58
Eldama Ravine,145.86,127.05,115.01
Tenges,146,127.19,115.15
Barwessa,146.12,127.31,115.25
Kipsaraman,147.02,128.21,116.16
Loruk,146.89,128.08,116.03
Kabartonjo,145.86,127.05,115.01
Tindiret,145.93,127.11,115.07
O'lessos,145.09,126.28,114.24
Kobujoi,145.49,126.69,114.64
Serem,145.57,126.77,114.71
Kabiyet,145.03,126.22,114.17
Cheptulu,145.45,126.65,114.6
Songor,146,127.19,115.15
Kapcherop,145.63,126.83,114.78
Sambalat,146.32,127.51,115.47
Arror,145.97,127.17,115.11
Tot,146.18,127.37,115.32
Kaptarakwa,145.22,126.41,114.37
Kapese,148.17,129.36,117.32
Kalemngorok,147.57,128.75,116.71
Marich,146.54,127.74,115.69
Alale,147.04,128.22,116.18
Kunyao,146.69,127.89,115.84
Asilong,146.28,127.48,115.43
Orolwo,146.32,127.51,115.47
Sebit,146.27,127.46,115.42
Morpus,146.18,127.37,115.32
Chepkorniswo,146.07,127.25,115.21
Kaibichbich,146.01,127.2,115.16
Keringet,145.74,126.93,114.89
Kisumu,145.03,126.2,114.16
Sondu,145.14,126.3,114.27
Oyugis,145.61,126.79,114.75
Kakamega,145.08,126.25,114.22
Mumias,145.35,126.53,114.49
Bondo,145.25,126.41,114.38
Siaya,145.36,126.54,114.5
Kericho,145.54,126.71,114.67
Nyamira,145.6,126.78,114.74
Kisii,145.91,127.08,115.05
Sotik,145.74,126.92,114.88
Keroka,145.93,127.1,115.06
Busia,145.9,127.07,115.04
Homabay,145.85,127.02,114.98
Migori,146.7,127.87,115.84
Isebania,146.98,128.16,116.12
Bomet,146.14,127.32,115.28
Muhoroni,145.27,126.43,114.4
Mbita,145.84,127,114.97
Mbale,145.03,126.2,114.16
Etago,146.49,127.65,115.62
Magenche,146.58,127.76,115.72
Kilgoris,146.42,127.59,115.56
Malava,145.4,126.56,114.53
Lugari,145.79,126.95,114.92
Rodi Kopany,145.91,127.08,115.05
Ndhiwa,146.18,127.36,115.32
Rangwe,145.9,127.07,115.04
Sindo,145.91,127.08,115.05
Awasi,145,126.16,114.13
Ahero,145.03,126.2,114.16
Ugunja,145.46,126.63,114.6
Asembo,145.12,126.28,114.25
Usenge,145.59,126.76,114.72
Harambee,145.07,126.25,114.21
Muhuru Bay,146.84,128.02,115.98
Kehancha,147.08,128.25,116.21
Ntimaru,147.38,128.56,116.52
Rongo,146.16,127.33,115.3
Kaspokwony,146.12,127.3,115.25
Chwele,146.07,127.24,115.2
Kimilili,145.99,127.17,115.12
Nambale,145.9,127.07,115.04
SioPort,145.89,127.06,115.02
Port Bunyala,145.94,127.11,115.07
Funyula,145.76,126.93,114.89
Ogembo,146.07,127.24,115.2
Nyangusu,146.33,127.5,115.46
Sengera,146.25,127.42,115.38
Keumbu,145.98,127.14,115.11
Marani,145.68,126.85,114.81
Kerina,146.04,127.21,115.18
Ikonge,145.4,126.56,114.53
Nyansiongo,145.8,126.97,114.93
