Town,Super,Diesel,Kerosene
Mombasa,156.86,137.76,125.69
Kilifi,157.57,138.47,126.41
Likoni Mainland,157.22,138.11,126.05
Kwale,157.22,138.11,126.05
Malindi,157.78,138.67,126.61
Lungalunga,157.93,138.83,126.76
Voi,158.34,139.24,127.17
Taveta,159.75,140.64,128.58
Lamu,160.16,141.06,129
Hola,160.45,141.34,129.28
Mpeketoni,160.16,141.06,129
Minjila,159.13,140.02,127.96
Garsen,159.22,140.11,128.05
Samburu,157.16,138.06,126
Taru,157.34,138.24,126.18
Mwatate,158.68,139.57,127.51
Wundanji,158.84,139.74,127.68
Kaloleni,157.01,137.92,125.85
Marereni,158.44,139.34,127.27
Nairobi,159.12,140,127.94
Thika,159.12,140.01,127.94
Machakos,159.36,140.24,128.18
Kajiado,159.54,140.42,128.36
Makuyu,159.41,140.29,128.23
Muranga,159.64,140.52,128.46
Sagana,159.85,140.75,128.68
Embu,160.22,141.1,129.04
Kerugoya,160.14,141.03,128.97
Narok,160.5,141.4,129.33
Nyeri,160.49,141.37,129.31
Namanga,160.66,141.55,129.48
Kiganjo,160.46,141.34,129.28
Chuka,160.75,141.63,129.57
Kitui,160.65,141.54,129.47
Mwingi,161.03,141.93,129.86
Nanyuki,161.05,141.94,129.87
Nkubu,162.01,142.91,130.84
Mtito Andei,161.55,142.44,130.38
Meru,162.21,143.1,131.04
Isiolo,162.07,142.96,130.89
Maua,162.66,143.56,131.49
Garissa,163.29,144.17,132.11
Marsabit,166.97,147.85,135.79
Liboi,166.05,146.94,134.87
Moyale,168.55,149.44,137.37
Sololo,167.61,148.49,136.43
Habaswein,165.98,146.86,134.8
Dadaab,164.67,145.55,133.49
Tarbaj,168.22,149.12,137.04
Elwak,169.83,150.72,138.65
Wajir,168.38,149.27,137.21
Modogashe,166.12,147,134.94
Mandera,172.15,153.05,140.98
Matuu,160.02,140.9,128.84
Merti,164.46,145.35,133.29
Oldonyiro,161.47,142.36,130.29
Eldas,170.16,151.04,138.98
Bute,167.19,148.08,136.02
Hadado,165.78,146.67,134.6
Mai Mahiu,159.24,140.12,128.06
Doldo,161.81,142.7,130.63
Lamuria,160.93,141.82,129.75
Sipili,161.8,142.68,130.62
Marimanti,161.42,142.31,130.25
Mutuobare,160.76,141.65,129.58
North Horr,167.93,148.82,136.75
Maikona,166.55,147.43,135.37
Kalacha,167.09,147.97,135.91
Loyangalani,167.15,148.04,135.97
Turbi,166.96,147.84,135.78
Laisamis,164.16,145.06,132.98
Merille,163.87,144.75,132.69
Korr,165.11,146,133.93
Nakuru,158.64,139.83,127.79
Gilgil,158.61,139.79,127.76
Mogotio,158.6,139.78,127.74
Molo,158.69,139.86,127.83
Olenguruone,159.39,140.56,128.53
Londiani,158.9,140.09,128.05
Nyahururu,158.89,140.08,128.04
Archers Post,161.88,143.06,131.03
Lodosoit,162.98,144.16,132.13
Naivasha,158.97,140.15,128.11
Marigat,159.38,140.55,128.51
Kabarnet ,159.86,141.04,129.01
Maralal,160.95,142.13,130.1
Wamba,161.79,142.97,130.93
Rumuruti,159.43,140.62,128.58
Eldoret,159.53,140.72,128.67
Kiplombe,159.53,140.72,128.67
Iten,159.53,140.72,128.67
Naiberi,159.53,140.72,128.67
Kesses,159.53,140.72,128.67
Kapsabet,159.54,140.74,128.68
Webuye,159.95,141.15,129.1
Kitale,159.89,141.08,129.03
Kapenguria ,160.52,141.72,129.67
Bungoma,160.3,141.48,129.44
Moiben,159.54,140.74,128.68
Matunda,159.52,140.7,128.66
Burnt Forest,159.48,140.67,128.62
Tambach,159.57,140.76,128.71
Kapsowar,160.04,141.22,129.18
Chebara,159.92,141.1,129.06
Kimwarer,159.84,141.03,128.99
Timboroa,159.77,140.95,128.9
Nandi Hills,159.72,140.91,128.87
Kaiboi,159.58,140.77,128.73
Kiminini,160.07,141.27,129.21
Endebes,160.43,141.61,129.57
Saboti,160.1,141.29,129.25
Chepareria,160.73,141.93,129.87
Lomut,162.35,143.53,131.49
Burgich,161.15,142.34,130.29
Sigor,161.28,142.47,130.42
Lodwar,163.71,144.9,132.85
Kakuma,165.3,146.49,134.44
Lokichar,162.71,143.9,131.85
Kalokol,164.47,145.66,133.61
Lokori,163.07,144.27,132.22
Lokitaung,167.35,148.55,136.49
Kapedo,162.35,143.53,131.49
Malaba,160.7,141.88,129.84
Lokichogio,166.48,147.68,135.63
Ziwa,159.72,140.91,128.87
Soy,159.53,140.72,128.67
Moi's Bridge,159.59,140.78,128.74
Turbo,159.48,140.67,128.62
Kibish,167.59,148.77,136.73
Nakalale,166.41,147.6,135.55
Loima,162.82,144.02,131.97
Lokiriama,164.39,145.59,133.53
Kainuk,161.6,142.79,130.74
Kacheliba,160.92,142.12,130.07
Kiwawa,161.54,142.72,130.68
Ortum,161.12,142.31,130.26
Kachibora,159.92,141.1,129.06
Kwanza,160.63,141.82,129.78
Kaplamai,159.94,141.14,129.08
Eldama Ravine,160.36,141.55,129.51
Tenges,160.5,141.69,129.65
Barwessa,160.62,141.81,129.75
Kipsaraman,161.52,142.71,130.66
Loruk,161.39,142.58,130.53
Kabartonjo,160.36,141.55,129.51
Tindiret,160.43,141.61,129.57
O'lessos,159.59,140.78,128.74
Kobujoi,159.99,141.19,129.14
Serem,160.07,141.27,129.21
Kabiyet,159.53,140.72,128.67
Cheptulu,159.95,141.15,129.1
Songor,160.5,141.69,129.65
Kapcherop,160.13,141.33,129.28
Sambalat,160.82,142.01,129.97
Arror,160.47,141.67,129.61
Tot,160.68,141.87,129.82
Kaptarakwa,159.72,140.91,128.87
Kapese,162.67,143.86,131.82
Kalemngorok,162.07,143.25,131.21
Marich,161.04,142.24,130.19
Alale,161.54,142.72,130.68
Kunyao,161.19,142.39,130.34
Asilong,160.78,141.98,129.93
Orolwo,160.82,142.01,129.97
Sebit,160.77,141.96,129.92
Morpus,160.68,141.87,129.82
Chepkorniswo,160.57,141.75,129.71
Kaibichbich,160.51,141.7,129.66
Keringet,160.24,141.43,129.39
Kisumu,159.53,140.7,128.66
Sondu,159.64,140.8,128.77
Oyugis,160.11,141.29,129.25
Kakamega,159.58,140.75,128.72
Mumias,159.86,141.03,128.99
Bondo,159.75,140.91,128.88
Siaya,159.86,141.04,129
Kericho,160.05,141.21,129.17
Nyamira,160.1,141.28,129.24
Kisii,160.41,141.58,129.55
Sotik,160.24,141.42,129.38
Keroka,160.43,141.6,129.56
Busia,160.4,141.57,129.54
Homabay,160.35,141.52,129.48
Migori,161.2,142.37,130.34
Isebania,161.48,142.66,130.62
Bomet,160.64,141.82,129.78
Muhoroni,159.77,140.93,128.9
Mbita,160.34,141.5,129.47
Mbale,159.53,140.7,128.66
Etago,160.99,142.15,130.12
Magenche,161.08,142.26,130.22
Kilgoris,160.92,142.09,130.06
Malava,159.9,141.06,129.03
Lugari,160.29,141.45,129.42
Rodi Kopany,160.41,141.58,129.55
Ndhiwa,160.68,141.86,129.82
Rangwe,160.4,141.57,129.54
Sindo,160.41,141.58,129.55
Awasi,159.5,140.66,128.63
Ahero,159.53,140.7,128.66
Ugunja,159.96,141.13,129.1
Asembo,159.62,140.78,128.75
Usenge,160.09,141.26,129.22
Harambee,159.57,140.75,128.71
Muhuru Bay,161.34,142.52,130.48
Kehancha,161.58,142.75,130.71
Ntimaru,161.88,143.06,131.02
Rongo,160.66,141.83,129.8
Kaspokwony,160.62,141.8,129.75
Chwele,160.57,141.74,129.7
Kimilili,160.49,141.67,129.62
Nambale,160.4,141.57,129.54
SioPort,160.39,141.56,129.53
Port Bunyala,160.44,141.61,129.57
Funyula,160.26,141.43,129.4
Ogembo,160.57,141.74,129.7
Nyangusu,160.83,142,129.96
Sengera,160.75,141.92,129.88
Keumbu,160.48,141.64,129.61
Marani,160.18,141.35,129.31
Kerina,160.54,141.71,129.68
Ikonge,159.9,141.07,129.03
Nyansiongo,160.3,141.47,129.43
