Town,Super,Diesel,Kerosene
Mombasa,174.98,159.76,143.69
Kilifi,175.69,160.47,144.41
Likoni Mainland,175.34,160.11,144.05
Kwale,175.34,160.11,144.05
Malindi,175.9,160.67,144.61
Lungalunga,176.05,160.83,144.76
Voi,176.46,161.24,145.17
Taveta,177.86,162.64,146.58
Lamu,178.27,163.06,147
Hola,178.57,163.34,147.28
Mpeketoni,178.27,163.06,147
Minjila,177.25,162.02,145.96
Garsen,177.33,162.11,146.05
Samburu,175.28,160.06,144
Taru,175.46,160.24,144.18
Mwatate,176.79,161.57,145.51
Wundanji,176.96,161.74,145.68
Kaloleni,175.13,159.92,143.85
Marereni,176.56,161.34,145.27
Nairobi,177.3,162,145.94
Thika,177.31,162.01,145.94
Machakos,177.54,162.24,146.18
Kajiado,177.72,162.42,146.36
Makuyu,177.59,162.29,146.23
Muranga,177.82,162.52,146.46
Sagana,178.05,162.75,146.68
Embu,178.4,163.1,147.04
Kerugoya,178.33,163.03,146.97
Narok,178.69,163.4,147.33
Nyeri,178.67,163.37,147.31
Namanga,178.85,163.55,147.48
Kiganjo,178.64,163.34,147.28
Chuka,178.93,163.63,147.57
Kitui,178.84,163.54,147.47
Mwingi,179.22,163.93,147.86
Nanyuki,179.23,163.94,147.87
Nkubu,180.21,164.91,148.84
Mtito Andei,179.74,164.44,148.38
Meru,180.4,165.1,149.04
Isiolo,180.26,164.96,148.89
Maua,180.85,165.56,149.49
Garissa,181.47,166.17,150.11
Marsabit,185.15,169.85,153.79
Liboi,184.24,168.94,152.87
Moyale,186.74,171.44,155.37
Sololo,185.79,170.49,154.43
Habaswein,184.16,168.86,152.8
Dadaab,182.85,167.55,151.49
Tarbaj,186.42,171.12,155.04
Elwak,188.02,172.72,156.65
Wajir,186.57,171.27,155.21
Modogashe,184.3,169,152.94
Mandera,190.35,175.05,158.98
Matuu,178.2,162.9,146.84
Merti,182.65,167.35,151.29
Oldonyiro,179.67,164.36,148.29
Eldas,188.34,173.04,156.98
Bute,185.38,170.08,154.02
Hadado,183.97,168.67,152.6
Mai Mahiu,177.42,162.12,146.06
Doldo,180,164.7,148.63
Lamuria,179.12,163.82,147.75
Sipili,179.98,164.68,148.62
Marimanti,179.61,164.31,148.25
Mutuobare,178.95,163.65,147.58
North Horr,186.11,170.82,154.75
Maikona,184.73,169.43,153.37
Kalacha,185.27,169.97,153.91
Loyangalani,185.34,170.04,153.97
Turbi,185.14,169.84,153.78
Laisamis,182.36,167.06,150.98
Merille,182.05,166.75,150.69
Korr,183.3,168,151.93
Nakuru,176.62,161.83,145.79
Gilgil,176.58,161.79,145.76
Mogotio,176.57,161.78,145.74
Molo,176.65,161.86,145.83
Olenguruone,177.36,162.56,146.53
Londiani,176.88,162.09,146.05
Nyahururu,176.87,162.08,146.04
