Town,Super,Diesel,Kerosene
Mombasa,127.46,108.36,101.29
Kilifi,128.17,109.07,102.01
Likoni Mainland,127.82,108.71,101.65
Kwale,127.82,108.71,101.65
Malindi,128.39,109.27,102.21
Lungalunga,128.53,109.43,102.36
Voi,128.94,109.84,102.76
Taveta,130.36,111.24,104.18
Lamu,130.77,111.65,104.59
Hola,131.05,111.94,104.88
Nairobi,129.72,110.6,103.54
Thika,129.72,110.6,103.54
Machakos,129.95,110.84,103.78
Kajiado,130.13,111.01,103.95
Makuyu,130,110.88,103.82
Muranga,130.24,111.12,104.06
Sagana,130.45,111.34,104.27
Embu,130.82,111.7,104.64
Kerugoya,130.73,111.63,104.57
Narok,131.1,111.99,104.92
Nyeri,131.09,111.97,104.91
Namanga,131.25,112.15,105.07
Kiganjo,131.05,111.93,104.87
Chuka,131.35,112.23,105.17
Kitui,131.24,112.13,105.06
Mwingi,131.63,112.51,105.45
Nanyuki,131.64,112.54,105.46
Nkubu,132.61,113.5,106.43
Mtito Andei,132.15,113.03,105.97
Meru,132.81,113.69,106.63
Isiolo,132.67,113.55,106.49
Maua,133.26,114.15,107.08
Garissa,133.88,114.77,107.71
Marsabit,137.57,118.45,111.39
Liboi,136.65,117.54,110.47
Moyale,139.15,120.03,112.97
Sololo,138.2,119.09,112.03
Habaswein,136.57,117.46,110.4
Dadaab,135.27,116.15,109.09
Tarbaj,138.82,119.71,112.64
Elwak,140.42,121.32,114.25
Wajir,138.97,119.87,112.8
Modogashe,136.72,117.6,110.54
Mandera,142.75,123.64,116.58
Nakuru,129.24,110.43,103.39
Gilgil,129.21,110.39,103.36
Mogotio,129.2,110.38,103.33
Molo,129.29,110.46,103.43
Olenguruone,129.99,111.16,104.13
Londiani,129.5,110.69,103.65
Nyahururu,129.49,110.68,103.64
Archers Post,132.48,113.66,106.63
Lodosoit,133.57,114.76,107.72
Naivasha,129.57,110.75,103.71
Marigat,129.97,111.15,104.11
Kabarnet ,130.46,111.64,104.61
Maralal,131.54,112.73,105.69
Eldoret,130.13,111.32,104.27
Kiplombe,130.13,111.32,104.27
Iten,130.13,111.32,104.27
Naiberi,130.13,111.32,104.27
Kesses,130.13,111.32,104.27
Kapsabet,130.14,111.34,104.28
Webuye,130.55,111.75,104.7
Kitale,130.49,111.68,104.63
Kapenguria ,131.12,112.32,105.27
Bungoma,130.9,112.08,105.04
Moiben,130.14,111.34,104.28
Matunda,130.12,111.3,104.26
Burnt Forest,130.08,111.27,104.22
Tambach,130.16,111.36,104.31
Kapsowar,130.64,111.82,104.78
Chebara,130.52,111.7,104.66
Kimwarer,130.44,111.63,104.59
Timboroa,130.36,111.55,104.5
Nandi Hills,130.32,111.51,104.47
Kaiboi,130.18,111.37,104.33
Kiminini,130.67,111.87,104.81
Endebes,131.03,112.21,105.16
Saboti,130.7,111.89,104.85
Chepareria,131.33,112.53,105.47
Lomut,132.95,114.13,107.09
Burgich,131.75,112.94,105.89
Sigor,131.88,113.07,106.02
Lodwar,134.31,115.5,108.45
Kakuma,135.9,117.09,110.04
Lokichar,133.3,114.5,107.45
Kalokol,135.07,116.26,109.21
Lokori,133.67,114.87,107.82
Lokitaung,137.95,119.15,112.09
Kapedo,132.95,114.13,107.09
Malaba,131.3,112.48,105.44
Lokichogio,137.08,118.28,111.23
Ziwa,130.32,111.51,104.47
Soy,130.13,111.32,104.27
Moi's Bridge,130.19,111.38,104.34
Turbo,130.08,111.27,104.22
Kibish,138.19,119.37,112.33
Nakalale,137.01,118.2,111.15
Loima,133.42,114.62,107.57
Lokiriama,134.99,116.19,109.13
Kainuk,132.2,113.39,106.34
Kacheliba,131.52,112.72,105.67
Kiwawa,132.14,113.32,106.27
Ortum,131.72,112.91,105.86
Kachibora,130.52,111.7,104.66
Kwanza,131.23,112.42,105.38
Kaplamai,130.54,111.74,104.68
Eldama Ravine,130.96,112.15,105.11
Tenges,131.1,112.29,105.25
Barwessa,131.21,112.41,105.35
Kipsaraman,132.12,113.31,106.26
Loruk,131.99,113.18,106.13
Kabartonjo,130.96,112.15,105.11
Tindiret,131.03,112.21,105.16
O'lessos,130.19,111.38,104.34
Kobujoi,130.59,111.79,104.74
Serem,130.67,111.87,104.81
Kabiyet,130.13,111.32,104.27
Cheptulu,130.55,111.75,104.7
Songor,131.1,112.29,105.25
Kapcherop,130.73,111.93,104.88
Sambalat,131.42,112.61,105.57
Arror,131.07,112.27,105.21
Tot,131.27,112.47,105.42
Kaptarakwa,130.32,111.51,104.47
Kisumu,130.12,111.3,104.26
Sondu,130.23,111.4,104.37
Oyugis,130.7,111.89,104.85
Kakamega,130.17,111.35,104.32
Mumias,130.44,111.63,104.59
Bondo,130.33,111.51,104.48
Siaya,130.45,111.64,104.6
Kericho,130.63,111.81,104.77
Nyamira,130.69,111.88,104.84
Kisii,131,112.18,105.15
Sotik,130.83,112.02,104.98
Keroka,131.01,112.2,105.16
Busia,130.99,112.17,105.14
Homabay,130.94,112.12,105.08
Migori,131.79,112.97,105.94
Isebania,132.07,113.26,106.22
Bomet,131.23,112.42,105.38
Muhoroni,130.36,111.53,104.49
Mbita,130.93,112.1,105.07
Mbale,130.12,111.3,104.26
Etago,131.58,112.75,105.72
Magenche,131.67,112.86,105.82
Kilgoris,131.51,112.69,105.66
