Town,Super,Diesel,Kerosene
Mombasa,191.62,176.63,166.43
Kilifi,192.39,177.40,167.19
Likoni Mainland,192.00,177.02,166.81
Kwale,192.00,177.02,166.81
Malindi,192.62,177.62,167.41
Lungalunga,192.77,177.78,167.57
Voi,193.21,178.21,168.01
Taveta,194.73,179.73,169.52
Lamu,195.17,180.17,169.97
Hola,195.47,180.48,170.28
Mpeketoni,195.17,180.17,169.97
Minjila,194.06,179.07,168.86
Garsen,194.15,179.16,168.95
Samburu,191.95,176.95,166.75
Taru,192.14,177.14,166.95
Mwatate,193.57,178.58,TT
Wundanji,193.75,178.76,168.56
Kaloleni,191.79,176.80,166.60
Marereni,193.32,178.33,168.12
Nairobi,194.68,179.67,169.48
Thika,194.68,179.67,169.48
Machakos,194.94,179.92,169.73
Kajiado,195.13,180.11,169.93
Makuyu,195.00,179.97,169.79
Muranga,195.24,180.23,170.03
Sagana,195.48,180.46,170.28
Embu,195.87,180.86,170.66
Kerugoya,195.78,180.76,170.58
Narok,196.17,181.16,170.97
Nyeri,196.16,181.15,170.95
Namanga,196.34,181.32,171.13
Kiganjo,196.12,181.10,170.91
Chuka,196.43,181.42,171.23
Kitui,196.33,181.31,171.12
Mwingi,196.75,181.73,171.54
Nanyuki,196.76,181.74,171.55
Nkubu,197.80,182.78,172.60
Mtito Andei,197.29,182.28,172.10
Meru,198.01,182.99,172.80
Isiolo,197.85,182.84,172.64
Maua,198.49,183.48,173.29
Garissa,199.16,184.14,173.95
Marsabit,203.12,188.11,177.91
Liboi,202.13,187.12,176.92
Moyale,204.81,189.80,179.60
Sololo,203.80,188.78,178.59
Habaswein,202.05,187.04,176.84
Dadaab,200.65,185.63,175.44
Tarbaj,204.46,189.45,179.26
Elwak,206.19,191.17,180.98
Wajir,204.64,189.61,179.43
Modogashe,202.20,187.19,176.99
Mandera,208.68,193.67,183.49
Matuu,195.65,180.62,170.44
Merti,200.42,185.40,175.22
Oldonyiro,197.21,182.20,172.01
Eldas,206.54,191.52,181.33
Bute,203.36,188.34,178.15
Hadado,201.84,186.83,176.63
Mai Mahiu,194.81,179.80,169.60
Doldo,197.57,182.56,172.38
Lamuria,196.63,181.62,171.42
Sipili,197.56,182.55,172.35
Marimanti,197.15,182.14,171.96
Mutuobare,196.45,181.44,171.25
North Horr,204.15,189.13,178.94
Maikona,202.66,187.64,177.46
Kalacha,203.24,188.23,178.04
Loyangalani,203.31,188.30,178.11
Turbi,203.10,188.09,177.90
Laisamis,200.10,185.09,174.89
Merille,199.79,184.77,174.58
Korr,201.12,186.10,175.91
Nakuru,193.77,179.14,168.99
Gilgil,193.72,179.09,168.94
Mogotio,193.71,179.08,168.93
