Town,Super,Diesel,Kerosene
Mombasa,179.2,164.45,158.65
Kilifi,179.92,165.16,159.36
Likoni Mainland,179.56,164.81,159.01
Kwale,179.56,164.81,159.01
Malindi,180.12,165.37,159.57
Lungalunga,180.27,165.52,159.72
Voi,180.68,165.92,160.13
Taveta,182.09,167.34,161.54
Lamu,182.51,167.75,161.96
Hola,182.79,168.04,162.24
Mpeketoni,182.51,167.75,161.96
Minjila,181.47,166.72,160.92
Garsen,181.56,166.81,161.01
Samburu,179.51,164.74,158.95
Taru,179.69,164.93,159.14
Mwatate,181.02,166.27,160.47
Wundanyi,181.18,166.43,160.64
Kaloleni,179.37,164.6,158.81
Marereni,180.78,166.03,160.23
Nairobi,182.04,167.28,161.48
Thika,182.04,167.28,161.48
Machakos,182.28,167.51,161.71
Kajiado,182.46,167.69,161.89
Makuyu,182.33,167.56,161.76
Muranga,182.56,167.8,162
Sagana,182.78,168.02,162.22
Embu,183.15,168.38,162.58
Kerugoya,183.07,168.3,162.5
Narok,183.43,168.66,162.86
Nyeri,183.42,168.65,162.85
Namanga,183.59,168.82,163.02
Kiganjo,183.37,168.61,162.81
Chuka,183.68,168.91,163.11
Kitui,183.57,168.8,163
Mwingi,183.96,169.19,163.39
Nanyuki,183.97,169.2,163.4
Nkubu,184.94,170.18,164.38
Mtito Andei,184.47,169.71,163.91
Meru,185.13,170.37,164.57
Isiolo,184.99,170.23,164.43
Maua,185.59,170.82,165.02
Garissa,186.21,171.44,165.64
Marsabit,189.9,175.13,169.33
Liboi,188.98,174.21,168.41
Moyale,191.47,176.71,170.91
Sololo,190.53,175.76,169.96
Habaswein,188.9,174.14,168.34
Dadaab,187.6,172.83,167.03
Tarbaj,191.15,176.39,170.59
Elwak,192.76,177.98,172.18
Wajir,191.3,176.54,170.74
Modogashe,189.04,174.28,168.48
Mandera,195.08,180.32,174.52
Matuu,182.94,168.17,162.38
Merti,187.39,172.62,166.82
Oldonyiro,184.4,169.64,163.84
Eldas,193.08,178.31,172.51
Bute,190.11,175.35,169.55
Hadado,188.71,173.94,168.14
Mai Mahiu,182.16,167.4,161.6
Doldo,184.73,169.97,164.17
Lamuria,183.86,169.1,163.3
Sipili,184.72,169.96,164.16
Marimanti,184.35,169.58,163.78
Mutuobare,183.69,168.92,163.12
North Horr,190.86,176.08,170.28
Maikona,189.46,174.7,168.9
Kalacha,190.01,175.25,169.45
Loyangalani,190.08,175.32,169.52
Turbi,189.89,175.12,169.32
Laisamis,187.09,172.32,166.53
Merille,186.8,172.02,166.22
Korr,188.03,173.26,167.47
Nakuru,181.18,166.78,161.01
Gilgil,181.14,166.74,160.96
Mogotio,181.13,166.73,160.95
Molo,181.21,166.82,161.04
Olenguruone,181.92,167.52,161.74
Londiani,181.44,167.04,161.26
Nyahururu,181.42,167.03,161.24
Archers Post,184.41,170.01,164.24
Lodosoit,185.51,171.12,165.34
Naivasha,181.5,167.11,161.33
Marigat,181.9,167.51,161.73
Kabarnet ,182.39,168,162.22
Maralal,183.48,169.08,163.31
Wamba,184.32,169.93,164.15
Rumuruti,181.97,167.57,161.79
Eldoret,181.88,167.49,161.71
Kiplombe,181.88,167.49,161.71
Iten,181.88,167.49,161.71
Naiberi,181.88,167.49,161.71
Kesses,181.88,167.49,161.71
Kapsabet,181.89,167.5,161.72
Webuye,182.3,167.92,162.13
Kitale,182.24,167.85,162.07
Kapenguria ,182.88,168.48,162.7
Bungoma,182.65,168.25,162.46
Moiben,181.89,167.5,161.72
Matunda,181.87,167.48,161.7
Burnt Forest,181.83,167.43,161.65
Tambach,181.92,167.53,161.74
Kapsowar,182.39,167.99,162.22
Chebara,182.27,167.88,162.1
Kimwarer,182.2,167.8,162.02
Timboroa,182.11,167.72,161.94
Nandi Hills,182.08,167.68,161.9
Kaiboi,181.94,167.54,161.76
Kiminini,182.42,168.04,162.25
Endebes,182.78,168.38,162.59
Saboti,182.45,168.06,162.28
Chepareria,183.08,168.7,162.91
Lomut,184.7,170.31,164.53
Burgich,183.5,169.11,163.33
Sigor,183.63,169.24,163.46
Lodwar,186.06,171.67,165.89
Kakuma,187.65,173.25,167.48
Lokichar,185.06,170.67,164.88
Kalokol,186.82,172.43,166.64
Lokori,185.43,171.03,165.25
Lokitaung,189.7,175.32,169.53
Kapedo,184.7,170.31,164.53
Malaba,183.05,168.65,162.87
Lokichogio,188.84,174.44,168.66
Ziwa,182.08,167.68,161.9
Soy,181.88,167.49,161.71
Moi's Bridge,181.95,167.55,161.77
Turbo,181.83,167.43,161.65
Kibish,189.94,175.54,169.77
Nakalale,188.76,174.37,168.59
Loima,185.18,170.79,165
Lokiriama,186.74,172.35,166.57
Kainuk,183.95,169.56,163.77
Kacheliba,183.28,168.89,163.1
Kiwawa,183.89,169.5,163.71
Ortum,183.47,169.08,163.3
Kachibora,182.27,167.88,162.1
Kwanza,182.98,168.59,162.81
Kaplamai,182.29,167.91,162.12
Eldama Ravine,182.71,168.32,162.53
Tenges,182.85,168.46,162.68
Barwessa,182.96,168.58,162.79
Kipsaraman,183.87,169.48,163.7
Loruk,183.74,169.35,163.57
Kabartonjo,182.71,168.32,162.53
Tindiret,182.78,168.38,162.59
O'lessos,181.95,167.55,161.77
Kobujoi,182.35,167.95,162.17
Serem,182.42,168.04,162.25
Kabiyet,181.88,167.49,161.71
Cheptulu,182.3,167.92,162.13
Songor,182.85,168.46,162.68
Kapcherop,182.49,168.1,162.31
Sambalat,183.18,168.78,163
Arror,182.82,168.44,162.65
Tot,183.03,168.64,162.85
Kaptarakwa,182.08,167.68,161.9
Kapese,185.03,170.63,164.85
Kalemngorok,184.42,170.02,164.25
Marich,183.39,169,163.22
Alale,183.89,169.5,163.71
Kunyao,183.55,169.16,163.37
Asilong,183.14,168.74,162.96
Orolwo,183.18,168.78,163
Sebit,183.12,168.73,162.95
Morpus,183.03,168.64,162.85
Chepkorniswo,182.92,168.52,162.74
Kaibichbich,182.87,168.47,162.69
Keringet,182.6,168.2,162.42
Kisumu,181.87,167.49,161.7
Sondu,181.98,167.58,161.81
Oyugis,182.47,168.07,162.28
Kakamega,181.93,167.53,161.75
Mumias,182.2,167.81,162.02
Bondo,182.09,167.69,161.91
Siaya,182.21,167.82,162.03
Kericho,182.38,167.99,162.21
Nyamira,182.44,168.06,162.27
Kisii,182.76,168.36,162.58
Sotik,182.58,168.19,162.41
Keroka,182.77,168.37,162.59
Busia,182.75,168.35,162.57
Homabay,182.69,168.3,162.52
Migori,183.55,169.15,163.37
Isebania,183.83,169.44,163.65
Bomet,182.99,168.6,162.81
Muhoroni,182.11,167.71,161.93
Mbita,182.68,168.29,162.51
Mbale,181.87,167.49,161.7
Etago,183.33,168.93,163.16
Magenche,183.43,169.04,163.25
Kilgoris,183.26,168.87,163.09
Malava,182.24,167.84,162.06
Lugari,182.63,168.23,162.45
Rodi Kopany,182.76,168.36,162.58
Ndhiwa,183.03,168.63,162.85
Rangwe,182.75,168.35,162.57
Sindo,182.76,168.36,162.58
Awasi,181.84,167.44,161.67
Ahero,181.87,167.49,161.7
Ugunja,182.3,167.91,162.13
Asembo,181.96,167.56,161.78
Usenge,182.43,168.04,162.26
Harambee,181.92,167.52,161.74
Muhuru Bay,183.69,169.3,163.51
Kehancha,183.92,169.53,163.75
Ntimaru,184.23,169.84,164.05
Rongo,183.01,168.61,162.83
Kaspokwony,182.96,168.57,162.79
Chwele,182.91,168.52,162.73
Kimilili,182.83,168.44,162.66
Nambale,182.75,168.35,162.57
SioPort,182.74,168.34,162.56
Port Bunyala,182.78,168.39,162.61
Funyula,182.61,168.21,162.43
Ogembo,182.91,168.52,162.73
Nyangusu,183.17,168.78,162.99
Sengera,183.09,168.7,162.92
Keumbu,182.82,168.43,162.65
Marani,182.52,168.13,162.35
Kerina,182.89,168.49,162.71
Ikonge,182.24,167.84,162.06
Nyansiongo,182.64,168.25,162.46
