Town,Super,Diesel,Kerosene
Mombasa,166.77,169.43,166.63
Kilifi,167.49,170.14,167.35
Likoni mainland,167.13,169.79,166.99
Lungalunga,167.84,170.5,167.7
Kwale,167.13,169.79,169.99
Malindi,167.69,170.35,167.55
Voi,168.25,170.91,168.1
Taveta,169.66,172.31,169.52
Lamu,179.08,172.74,169.93
Hola,170.36,173.02,170.22
Minjila,169.04,171.7,168.89
Saburu,167.08,169.73,166.93
Taru,167.26,169.92,167.11
Mpeketoni,170.08,172.74,169.93
Garsen,169.13,171.79,168.99
Mwatate,168.59,171.24,168.45
Wundanyi,168.76,171.42,168.61
Kaloleni,166.94,169.59,166.78
Marereni,168.35,171.02,168.21
Nairobi,169.57,172.24,169.43
Thika,169.58,172.24,169.43
Machakos,169.81,172.47,169.67
Namanga,171.12,173.77,170.97
Kajiado,169.99,172.65,169.84
Muranga,170.09,172.76,169.95
Embu,170.67,173.34,170.53
Kerugoya,170.6,173.25,170.46
Kiganjo,170.91,173.57,170.76
Makuyu,169.86,172.52,169.71
Sagana,170.32,172.97,170.17
Narok,170.96,173.62,170.81
Nyeri,170.95,173.61,170.8
Kitui,171.1,173.76,170.95
Mwingi,171.49,174.15,171.34
Nanyuki,171.5,174.16,171.36
Mutito Andei,172.01,174.67,171.86
Chuka,171.2,173.87,171.06
Nkubu,172.48,175.13,172.33
Meru,172.67,175.33,172.52
Isiolo,172.53,175.19,172.38
Maua,173.12,175.78,172.97
Garissa,173.74,176.4,173.6
Marsabit,177.42,180.09,177.28
Liboi,176.5,179.17,176.36
Moyale,179.01,181.67,178.86
Sololo,178.06,180.72,177.92
Habaswein,176.43,179.09,176.29
Dadaab,175.12,177.79,174.98
Tarbaj,178.69,181.34,178.53
Elwak,180.28,182.94,180.14
Wajir,178.84,181.49,178.7
Mandera,182.62,185.27,182.47
Modogashe,176.57,179.24,176.43
Matuu,170.47,173.12,170.33
Merti,174.92,177.57,174.78
Oldonyiro,171.94,174.59,171.78
Eldas,180.61,183.27,180.47
Bute,177.65,180.31,177.5
Hadado,176.23,178.89,176.09
Mai Mahiu,169.69,172.36,169.55
Doldo,172.27,174.93,172.12
Lamuria,171.39,174.04,171.24
Sipili,172.25,174.92,172.11
Marimanti,171.88,174.54,171.73
Mutuobare,171.22,173.88,171.07
North Horr,178.38,181.04,178.24
Maikona,177,179.66,176.85
Kalacha,177.54,180.2,177.4
Loyangalani,177.61,180.26,177.47
Turbi,177.41,180.07,177.27
Laisamis,174.62,177.28,174.47
Merille,174.32,176.98,174.18
Korr,175.56,178.22,175.42
Nakuru,168.77,171.72,168.93
Nyahururu,169.02,171.97,169.17
Archers Post,172,174.96,172.16
Lodosiot,173.1,176.06,173.26
Naivasha,169.1,172.04,169.26
Gilgil,168.73,171.69,168.89
Molo,168.8,171.76,168.97
Olenguruone,169.51,172.47,169.67
Mogotio,168.72,171.68,168.88
Kabarnet,169.99,172.94,170.14
Londiani,169.03,171.98,169.18
Marigat,169.5,172.45,169.66
Maralal,171.07,174.03,171.23
Wamba,171.91,174.87,172.08
Rumuruti,169.56,172.52,169.72
Eldoret,169.47,172.43,169.64
Kiplombe,169.47,172.43,169.64
Iten,169.47,172.43,169.64
Naiberi,169.47,172.43,169.64
Kesses,169.47,172.43,169.64
Kapsabet,169.48,172.44,169.65
Kitale,169.84,172.79,169.99
Kapenguria,170.47,173.43,170.63
Bungoma,170.24,173.19,170.4
Moiben,169.48,172.44,169.65
Matunda,169.46,172.42,169.62
Burnt Forest,169.42,172.38,169.58
Tambach,169.52,172.47,169.47
Kapsowar,169.98,172.93,170.14
Chebara,169.86,172.82,170.02
Kimwarer,169.79,172.74,169.95
Timboroa,169.71,172.66,169.86
Nandi Hills,169.67,172.63,169.83
Kaiboi,169.53,172.49,169.69
Kiminini,170.02,172.97,170.18
Endebes,170.37,173.32,170.52
Saboti,170.05,172.99,170.21
Chepareria,170.68,173.63,170.83
Lomut,172.29,175.25,172.45
Burgich,171.09,174.04,171.26
Sigor,171.22,174.17,171.38
Lodwar,173.65,176.61,173.81
Kakuma,175.24,178.2,175.4
Lokichar,172.66,175.61,172.81
Kalokol,174.42,177.37,174.57
Lokori,173.02,175.98,173.18
Lokitaung,177.3,180.25,177.46
Kapedo,172.29,175.25,172.45
Webuye,169.91,172.85,170.06
Malaba,170.64,173.6,170.8
Lokichogio,176.43,179.39,176.59
Ziwa,169.67,172.63,169.83
Soy,169.47,172.43,169.64
Moi’s Bridge,169.54,172.5,169.7
Turbo,169.42,172.38,169.58
Kibish,177.53,180.49,177.69
Nakalale,176.35,179.31,176.52
Loima,172.78,175.73,172.93
Lokiriama,174.33,177.29,174.5
Kainuk,171.55,174.5,171.7
Kacheliba,170.88,173.83,171.03
Kiwawa,171.48,174.43,171.63
Ortum,171.07,174.02,171.22
Kachibora,169.86,172.82,170.02
Kwanza,170.58,173.53,170.74
Kiplamai,169.89,172.84,170.05
Eldama Ravine,170.31,173.25,170.47
Tenges,170.45,173.4,170.61
Barwessa,170.56,173.51,170.72
Kipsaraman,171.47,174.42,171.62
Loruk,171.34,174.29,171.49
Kabartonjo,170.31,173.25,170.47
Tindiret,170.37,173.32,170.52
Olessos,169.54,172.5,169.7
Kobujoi,169.94,172.9,170.1
Serem,170.02,172.97,170.18
Kabiyet,169.47,172.43,169.64
