Town,Super,Diesel,Kerosene
Mombasa,147.86,128.76,116.69
Kilifi,148.57,129.47,117.41
Likoni Mainland,148.22,129.11,117.05
Kwale,148.22,129.11,117.05
Malindi,148.78,129.67,117.61
Lungalunga,148.93,129.83,117.76
Voi,149.34,130.24,118.17
Taveta,150.75,131.64,119.58
Lamu,151.16,132.06,120
Hola,151.45,132.34,120.28
Mpeketoni,151.16,132.06,120
Minjila,150.13,131.02,118.96
Garsen,150.22,131.11,119.05
Samburu,148.16,129.06,117
Taru,148.34,129.24,117.18
Mwatate,149.68,130.57,118.51
Wundanji,149.84,130.74,118.68
Kaloleni,148.01,128.92,116.85
Marereni,149.44,130.34,118.27
Nairobi,150.12,131,118.94
Thika,150.12,131.01,118.94
Machakos,150.36,131.24,119.18
Kajiado,150.54,131.42,119.36
Makuyu,150.41,131.29,119.23
Muranga,150.64,131.52,119.46
Sagana,150.85,131.75,119.68
Embu,151.22,132.1,120.04
Kerugoya,151.14,132.03,119.97
Narok,151.5,132.4,120.33
Nyeri,151.49,132.37,120.31
Namanga,151.66,132.55,120.48
Kiganjo,151.46,132.34,120.28
Chuka,151.75,132.63,120.57
Kitui,151.65,132.54,120.47
Mwingi,152.03,132.93,120.86
Nanyuki,152.05,132.94,120.87
Nkubu,153.01,133.91,121.84
Mtito Andei,152.55,133.44,121.38
Meru,153.21,134.1,122.04
Isiolo,153.07,133.96,121.89
Maua,153.66,134.56,122.49
Garissa,154.29,135.17,123.11
Marsabit,157.97,138.85,126.79
Liboi,157.05,137.94,125.87
Moyale,159.55,140.44,128.37
Sololo,158.61,139.49,127.43
Habaswein,156.98,137.86,125.8
Dadaab,155.67,136.55,124.49
Tarbaj,159.22,140.12,128.04
Elwak,160.83,141.72,129.65
Wajir,159.38,140.27,128.21
Modogashe,157.12,138,125.94
Mandera,163.15,144.05,131.98
Matuu,151.02,131.9,119.84
Merti,155.46,136.35,124.29
Oldonyiro,152.47,133.36,121.29
Eldas,161.16,142.04,129.98
Bute,158.19,139.08,127.02
Hadado,156.78,137.67,125.6
Mai Mahiu,150.24,131.12,119.06
Doldo,152.81,133.7,121.63
Lamuria,151.93,132.82,120.75
Rumuruti,152.63,133.52,121.46
Sipili,152.8,133.68,121.62
Marimanti,152.42,133.31,121.25
Mutuobare,151.76,132.65,120.58
North Horr,158.93,139.82,127.75
Maikona,157.55,138.43,126.37
Kalacha,158.09,138.97,126.91
Loyangalani,158.15,139.04,126.97
Turbi,157.96,138.84,126.78
Laisamis,155.16,136.06,123.98
Merille,154.87,135.75,123.69
Korr,156.11,137,124.93
Nakuru,149.64,130.83,118.79
Gilgil,149.61,130.79,118.76
Mogotio,149.6,130.78,118.74
Molo,149.69,130.86,118.83
Olenguruone,150.39,131.56,119.53
Londiani,149.9,131.09,119.05
Nyahururu,149.89,131.08,119.04
Archers Post,152.88,134.06,122.03
Lodosoit,153.98,135.16,123.13
Naivasha,149.97,131.15,119.11
Marigat,150.38,131.55,119.51
Kabarnet ,150.86,132.04,120.01
Maralal,151.95,133.13,121.1
Wamba,152.79,133.97,121.93
Eldoret,150.53,131.72,119.67
Kiplombe,150.53,131.72,119.67
Iten,150.53,131.72,119.67
Naiberi,150.53,131.72,119.67
Kesses,150.53,131.72,119.67
Kapsabet,150.54,131.74,119.68
Webuye,150.95,132.15,120.1
Kitale,150.89,132.08,120.03
Kapenguria ,151.52,132.72,120.67
Bungoma,151.3,132.48,120.44
Moiben,150.54,131.74,119.68
Matunda,150.52,131.7,119.66
Burnt Forest,150.48,131.67,119.62
Tambach,150.57,131.76,119.71
Kapsowar,151.04,132.22,120.18
Chebara,150.92,132.1,120.06
Kimwarer,150.84,132.03,119.99
Timboroa,150.77,131.95,119.9
Nandi Hills,150.72,131.91,119.87
Kaiboi,150.58,131.77,119.73
Kiminini,151.07,132.27,120.21
Endebes,151.43,132.61,120.57
Saboti,151.1,132.29,120.25
Chepareria,151.73,132.93,120.87
Lomut,153.35,134.53,122.49
Burgich,152.15,133.34,121.29
Sigor,152.28,133.47,121.42
Lodwar,154.71,135.9,123.85
Kakuma,156.3,137.49,125.44
Lokichar,153.71,134.9,122.85
Kalokol,155.47,136.66,124.61
Lokori,154.07,135.27,123.22
Lokitaung,158.35,139.55,127.49
Kapedo,153.35,134.53,122.49
Malaba,151.7,132.88,120.84
Lokichogio,157.48,138.68,126.63
Ziwa,150.72,131.91,119.87
Soy,150.53,131.72,119.67
Moi's Bridge,150.59,131.78,119.74
Turbo,150.48,131.67,119.62
Kibish,158.59,139.77,127.73
Nakalale,157.41,138.6,126.55
Loima,153.82,135.02,122.97
Lokiriama,155.39,136.59,124.53
Kainuk,152.6,133.79,121.74
Kacheliba,151.92,133.12,121.07
Kiwawa,152.54,133.72,121.68
Ortum,152.12,133.31,121.26
Kachibora,150.92,132.1,120.06
Kwanza,151.63,132.82,120.78
Kaplamai,150.94,132.14,120.08
Eldama Ravine,151.36,132.55,120.51
Tenges,151.5,132.69,120.65
Barwessa,151.62,132.81,120.75
Kipsaraman,152.52,133.71,121.66
Loruk,152.39,133.58,121.53
Kabartonjo,151.36,132.55,120.51
Tindiret,151.43,132.61,120.57
O'lessos,150.59,131.78,119.74
Kobujoi,150.99,132.19,120.14
Serem,151.07,132.27,120.21
Kabiyet,150.53,131.72,119.67
Cheptulu,150.95,132.15,120.1
Songor,151.5,132.69,120.65
Kapcherop,151.13,132.33,120.28
Sambalat,151.82,133.01,120.97
Arror,151.47,132.67,120.61
Tot,151.68,132.87,120.82
Kaptarakwa,150.72,131.91,119.87
Kapese,153.67,134.86,122.82
Kalemngorok,153.07,134.25,122.21
Marich,152.04,133.24,121.19
Alale,152.54,133.72,121.68
Kunyao,152.19,133.39,121.34
