Town,Super,Diesel,Kerosene
Mombasa,175.98,160.76,144.69
Kilifi,176.69,161.47,145.41
Likoni Mainland,176.34,161.11,145.05
Kwale,176.34,161.11,145.05
Malindi,176.9,161.67,145.61
Lungalunga,177.05,161.83,145.76
Voi,177.46,162.24,146.17
Taveta,178.86,163.64,147.58
Lamu,179.27,164.06,148
Hola,179.57,164.34,148.28
Mpeketoni,179.27,164.06,148
Minjila,178.25,163.02,146.96
Garsen,178.33,163.11,147.05
Samburu,176.28,161.06,145
Taru,176.46,161.24,145.18
Mwatate,177.79,162.57,146.51
Wundanji,177.96,162.74,146.68
Kaloleni,176.13,160.92,144.85
Marereni,177.56,162.34,146.27
Nairobi,178.3,163,146.94
Thika,178.31,163.01,146.94
Machakos,178.54,163.24,147.18
Kajiado,178.72,163.42,147.36
Makuyu,178.59,163.29,147.23
Muranga,178.82,163.52,147.46
Sagana,179.05,163.75,147.68
Embu,179.4,164.1,148.04
Kerugoya,179.33,164.03,147.97
Narok,179.69,164.4,148.33
Nyeri,179.67,164.37,148.31
Namanga,179.85,164.55,148.48
Kiganjo,179.64,164.34,148.28
Chuka,179.93,164.63,148.57
Kitui,179.84,164.54,148.47
Mwingi,180.22,164.93,148.86
Nanyuki,180.23,164.94,148.87
Nkubu,181.21,165.91,149.84
Mtito Andei,180.74,165.44,149.38
Meru,181.4,166.1,150.04
Isiolo,181.26,165.96,149.89
Maua,181.85,166.56,150.49
Garissa,182.47,167.17,151.11
Marsabit,186.15,170.85,154.79
Liboi,185.24,169.94,153.87
Moyale,187.74,172.44,156.37
Sololo,186.79,171.49,155.43
Habaswein,185.16,169.86,153.8
Dadaab,183.85,168.55,152.49
Tarbaj,187.42,172.12,156.04
Elwak,189.02,173.72,157.65
Wajir,187.57,172.27,156.21
Modogashe,185.3,170,153.94
Mandera,191.35,176.05,159.98
Matuu,179.2,163.9,147.84
Merti,183.65,168.35,152.29
Oldonyiro,180.67,165.36,149.29
Eldas,189.34,174.04,157.98
Bute,186.38,171.08,155.02
Hadado,184.97,169.67,153.6
Mai Mahiu,178.42,163.12,147.06
Doldo,181,165.7,149.63
Lamuria,180.12,164.82,148.75
Sipili,180.98,165.68,149.62
Marimanti,180.61,165.31,149.25
Mutuobare,179.95,164.65,148.58
North Horr,187.11,171.82,155.75
Maikona,185.73,170.43,154.37
Kalacha,186.27,170.97,154.91
Loyangalani,186.34,171.04,154.97
Turbi,186.14,170.84,154.78
Laisamis,183.36,168.06,151.98
Merille,183.05,167.75,151.69
Korr,184.3,169,152.93
Nakuru,177.62,162.83,146.79
Gilgil,177.58,162.79,146.76
Mogotio,177.57,162.78,146.74
Molo,177.65,162.86,146.83
Olenguruone,178.36,163.56,147.53
Londiani,177.88,163.09,147.05
Nyahururu,177.87,163.08,147.04
Archers Post,180.85,166.06,150.03
Lodosoit,181.95,167.16,151.13
Naivasha,177.95,163.15,147.11
Marigat,178.34,163.55,147.51
Kabarnet ,178.83,164.04,148.01
Maralal,179.92,165.13,149.1
Wamba,180.76,165.97,149.93
Rumuruti,178.41,163.62,147.58
Eldoret,178.5,163.72,147.67
Kiplombe,178.5,163.72,147.67
Iten,178.5,163.72,147.67
Naiberi,178.5,163.72,147.67
Kesses,178.5,163.72,147.67
Kapsabet,178.52,163.74,147.68
Webuye,178.93,164.15,148.1
Kitale,178.86,164.08,148.03
Kapenguria ,179.5,164.72,148.67
Bungoma,179.26,164.48,148.44
Moiben,178.52,163.74,147.68
Matunda,178.49,163.7,147.66
Burnt Forest,178.45,163.67,147.62
Tambach,178.54,163.76,147.71
Kapsowar,179,164.22,148.18
Chebara,178.89,164.1,148.06
Kimwarer,178.81,164.03,147.99
Timboroa,178.73,163.95,147.9
