Town,Super,Diesel,Kerosene
Mombasa,176.98,162.76,145.69
Kilifi,177.69,163.47,146.41
Likoni Mainland,177.34,163.11,146.05
Kwale,177.34,163.11,146.05
Malindi,177.9,163.67,146.61
Lungalunga,178.05,163.83,146.76
Voi,178.46,164.24,147.17
Taveta,179.86,165.64,148.58
Lamu,180.27,166.06,149
Hola,180.57,166.34,149.28
Mpeketoni,180.27,166.06,149
Minjila,179.25,165.02,147.96
Garsen,179.33,165.11,148.05
Samburu,177.28,163.06,146
Taru,177.46,163.24,146.18
Mwatate,178.79,164.57,147.51
Wundanji,178.96,164.74,147.68
Kaloleni,177.13,162.92,145.85
Marereni,178.56,164.34,147.27
Nairobi,179.3,165,147.94
Thika,179.31,165.01,147.94
Machakos,179.54,165.24,148.18
Kajiado,179.72,165.42,148.36
Makuyu,179.59,165.29,148.23
Muranga,179.82,165.52,148.46
Sagana,180.05,165.75,148.68
Embu,180.4,166.1,149.04
Kerugoya,180.33,166.03,148.97
Narok,180.69,166.4,149.33
Nyeri,180.67,166.37,149.31
Namanga,180.85,166.55,149.48
Kiganjo,180.64,166.34,149.28
Chuka,180.93,166.63,149.57
Kitui,180.84,166.54,149.47
Mwingi,181.22,166.93,149.86
Nanyuki,181.23,166.94,149.87
Nkubu,182.21,167.91,150.84
Mtito Andei,181.74,167.44,150.38
Meru,182.4,168.1,151.04
Isiolo,182.26,167.96,150.89
Maua,182.85,168.56,151.49
Garissa,183.47,169.17,152.11
Marsabit,187.15,172.85,155.79
Liboi,186.24,171.94,154.87
Moyale,188.74,174.44,157.37
Sololo,187.79,173.49,156.43
Habaswein,186.16,171.86,154.8
Dadaab,184.85,170.55,153.49
Tarbaj,188.42,174.12,157.04
Elwak,190.02,175.72,158.65
Wajir,188.57,174.27,157.21
Modogashe,186.3,172,154.94
Mandera,192.35,178.05,160.98
Matuu,180.2,165.9,148.84
Merti,184.65,170.35,153.29
Oldonyiro,181.67,167.36,150.29
Eldas,190.34,176.04,158.98
Bute,187.38,173.08,156.02
Hadado,185.97,171.67,154.6
Mai Mahiu,179.42,165.12,148.06
Doldo,182,167.7,150.63
Lamuria,181.12,166.82,149.75
Sipili,181.98,167.68,150.62
Marimanti,181.61,167.31,150.25
Mutuobare,180.95,166.65,149.58
North Horr,188.11,173.82,156.75
Maikona,186.73,172.43,155.37
Kalacha,187.27,172.97,155.91
Loyangalani,187.34,173.04,155.97
Turbi,187.14,172.84,155.78
Laisamis,184.36,170.06,152.98
Merille,184.05,169.75,152.69
Korr,185.3,171,153.93
Nakuru,178.62,164.83,147.79
Gilgil,178.58,164.79,147.76
Mogotio,178.57,164.78,147.74
Molo,178.65,164.86,147.83
Olenguruone,179.36,165.56,148.53
Londiani,178.88,165.09,148.05
Nyahururu,178.87,165.08,148.04
Archers Post,181.85,168.06,151.03
Lodosoit,182.95,169.16,152.13
Naivasha,178.95,165.15,148.11
Marigat,179.34,165.55,148.51
Kabarnet ,179.83,166.04,149.01
Maralal,180.92,167.13,150.1
Wamba,181.76,167.97,150.93
Rumuruti,179.41,165.62,148.58
Eldoret,179.5,165.72,148.67
Kiplombe,179.5,165.72,148.67
Iten,179.5,165.72,148.67
Naiberi,179.5,165.72,148.67
Kesses,179.5,165.72,148.67
Kapsabet,179.52,165.74,148.68
Webuye,179.93,166.15,149.1
Kitale,179.86,166.08,149.03
Kapenguria ,180.5,166.72,149.67
Bungoma,180.26,166.48,149.44
Moiben,179.52,165.74,148.68
Matunda,179.49,165.7,148.66
Burnt Forest,179.45,165.67,148.62
Tambach,179.54,165.76,148.71
Kapsowar,180,166.22,149.18
Chebara,179.89,166.1,149.06
Kimwarer,179.81,166.03,148.99
Timboroa,179.73,165.95,148.9
Nandi Hills,179.69,165.91,148.87
Kaiboi,179.55,165.77,148.73
Kiminini,180.05,166.27,149.21
Endebes,180.39,166.61,149.57
Saboti,180.07,166.29,149.25
Chepareria,180.71,166.93,149.87
Lomut,182.33,168.53,151.49
Burgich,181.12,167.34,150.29
Sigor,181.25,167.47,150.42
Lodwar,183.68,169.9,152.85
Kakuma,185.27,171.49,154.44
Lokichar,182.68,168.9,151.85
Kalokol,184.44,170.66,153.61
Lokori,183.05,169.27,152.22
Lokitaung,187.33,173.55,156.49
Kapedo,182.33,168.53,151.49
Malaba,180.66,166.88,149.84
Lokichogio,186.46,172.68,155.63
Ziwa,179.69,165.91,148.87
Soy,179.51,165.72,148.67
Moi's Bridge,179.57,165.78,148.74
Turbo,179.45,165.67,148.62
Kibish,187.56,173.77,156.73
Nakalale,186.39,172.6,155.55
Loima,182.8,169.02,151.97
Lokiriama,184.37,170.59,153.53
Kainuk,181.57,167.79,150.74
Kacheliba,180.9,167.12,150.07
Kiwawa,181.5,167.72,150.68
Ortum,181.09,167.31,150.26
Kachibora,179.89,166.1,149.06
Kwanza,180.6,166.82,149.78
Kaplamai,179.92,166.14,149.08
Eldama Ravine,180.33,166.55,149.51
Tenges,180.47,166.69,149.65
Barwessa,180.59,166.81,149.75
Kipsaraman,181.49,167.71,150.66
Loruk,181.36,167.58,150.53
Kabartonjo,180.33,166.55,149.51
Tindiret,180.39,166.61,149.57
O'lessos,179.57,165.78,148.74
Kobujoi,179.97,166.19,149.14
Serem,180.05,166.27,149.21
Kabiyet,179.51,165.72,148.67
Cheptulu,179.93,166.15,149.1
Songor,180.47,166.69,149.65
Kapcherop,180.11,166.33,149.28
Sambalat,180.79,167.01,149.97
Arror,180.45,166.67,149.61
Tot,180.65,166.87,149.82
Kaptarakwa,179.69,165.91,148.87
Kapese,182.65,168.86,151.82
Kalemngorok,182.03,168.25,151.21
Marich,181.02,167.24,150.19
Alale,181.5,167.72,150.68
Kunyao,181.17,167.39,150.34
Asilong,180.76,166.98,149.93
Orolwo,180.79,167.01,149.97
Sebit,180.74,166.96,149.92
Morpus,180.65,166.87,149.82
Chepkorniswo,180.53,166.75,149.71
Kaibichbich,180.49,166.7,149.66
Keringet,180.21,166.43,149.39
Kisumu,179.5,165.7,148.66
Sondu,179.59,165.8,148.77
Oyugis,180.08,166.29,149.25
Kakamega,179.54,165.75,148.72
Mumias,179.82,166.03,148.99
Bondo,179.7,165.91,148.88
Siaya,179.83,166.04,149
