town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Dadaab,108.36,108.36,113.36,123.26,128.76,137.76,137.76,137.76,162.76,160.76,159.76,159.76,159.76,159.76,169.43,159.76,165.06,164.45,176.63
Likoni Mainland,109.07,109.07,114.07,123.97,129.47,138.47,138.47,138.47,163.47,161.47,160.47,160.47,160.47,160.47,170.14,160.47,163.81,165.16,177.4
Busia,108.71,108.71,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,172.43,160.11,163.48,164.81,177.02
Chuka,108.71,108.71,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,170.5,160.11,164.34,164.81,177.02
Nyeri,109.27,109.27,114.27,124.17,129.67,138.67,138.67,138.67,163.67,161.67,160.67,160.67,160.67,160.67,169.79,160.67,162.67,165.37,177.62
Kapenguria ,109.43,109.43,114.43,124.33,129.83,138.83,138.83,138.83,163.83,161.83,160.83,160.83,160.83,160.83,170.35,160.83,162.72,165.52,177.78
Habaswein,109.84,109.84,114.84,124.74,130.24,139.24,139.24,139.24,164.24,162.24,161.24,161.24,161.24,161.24,170.91,161.24,163.1,165.92,178.21
Moi's Bridge,111.24,111.24,116.24,126.14,131.64,140.64,140.64,140.64,165.64,163.64,162.64,162.64,162.64,162.64,172.31,162.64,163.93,167.34,179.73
Liboi,111.65,111.65,116.66,126.56,132.06,141.06,141.06,141.06,166.06,164.06,163.06,163.06,163.06,163.06,172.74,163.06,163.63,167.75,180.17
Malindi,111.94,111.94,116.94,126.84,132.34,141.34,141.34,141.34,166.34,164.34,163.34,163.34,163.34,163.34,173.02,163.34,167.55,168.04,180.48
Nyamira,110.6,110.6,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Archers Post,110.6,110.6,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.55,167.49,179.89
Nyahururu,110.84,110.84,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
Burnt Forest,111.01,111.32,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,162.72,167.49,179.89
O'lessos,110.88,111.01,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,172.72,167.49,179.89
Kitale,111.12,110.88,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.1,167.49,179.89
Songor,111.34,111.12,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,172.43,162.72,163.61,167.49,179.89
