town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Dadaab,113.36,123.26,128.76,137.76,137.76,137.76,162.76,160.76,159.76,159.76,159.76,159.76,165.06,159.76,176.63,169.43,164.45,108.36,108.36
Likoni Mainland,114.07,123.97,129.47,138.47,138.47,138.47,163.47,161.47,160.47,160.47,160.47,160.47,163.81,160.47,177.4,170.14,165.16,109.07,109.07
Busia,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,163.48,160.11,177.02,,164.81,108.71,108.71
Chuka,113.71,123.61,129.11,138.11,138.11,138.11,163.11,161.11,160.11,160.11,160.11,160.11,164.34,160.11,177.02,170.5,164.81,108.71,108.71
Nyeri,114.27,124.17,129.67,138.67,138.67,138.67,163.67,161.67,160.67,160.67,160.67,160.67,162.67,160.67,177.62,169.79,165.37,109.27,109.27
Kapenguria ,114.43,124.33,129.83,138.83,138.83,138.83,163.83,161.83,160.83,160.83,160.83,160.83,,160.83,177.78,170.35,165.52,109.43,109.43
Habaswein,114.84,124.74,130.24,139.24,139.24,139.24,164.24,162.24,161.24,161.24,161.24,161.24,163.1,161.24,178.21,170.91,165.92,109.84,109.84
Moi's Bridge,116.24,126.14,131.64,140.64,140.64,140.64,165.64,163.64,162.64,162.64,162.64,162.64,163.93,162.64,179.73,172.31,167.34,111.24,111.24
Liboi,116.66,126.56,132.06,141.06,141.06,141.06,166.06,164.06,163.06,163.06,163.06,163.06,163.63,163.06,180.17,172.74,167.75,111.65,111.65
Malindi,116.94,126.84,132.34,141.34,141.34,141.34,166.34,164.34,163.34,163.34,163.34,163.34,167.55,163.34,180.48,173.02,168.04,111.94,111.94
Nyamira,,,,,,,,,,,,,,,,,,110.6,110.6
Archers Post,,,,,,,,,,,,,163.55,,,,,110.6,110.6
Nyahururu,,,,,,,,,,,,,,,,,,110.84,110.84
Burnt Forest,,,,,,,,,,,,,162.72,,,,,111.01,
O'lessos,,,,,,,,,,,,,172.72,,,,,110.88,111.01
Kitale,,,,,,,,,,,,,163.1,,,,,111.12,110.88
Songor,,,,,,,,,,,,,163.61,,,,,111.34,111.12
Kitui,,,,,,,,,,,,,166.17,,,,,111.7,111.34
Endebes,,,,,,,,,,,,,,,,,,111.63,111.7
Kaptarakwa,115.6,125.5,131.0,140.0,140.0,140.0,165.0,163.0,162.0,162.0,162.0,162.0,161.79,162.0,179.67,172.24,167.28,111.99,111.63
Etago,115.61,125.51,131.01,140.01,140.01,140.01,165.01,163.01,162.01,162.01,162.01,162.01,168.86,162.01,179.67,172.24,167.28,111.97,111.99
Nkubu,115.84,125.74,131.24,140.24,140.24,140.24,165.24,163.24,162.24,162.24,162.24,162.24,,162.24,179.92,172.47,167.51,112.15,111.97
Mbale,116.02,125.92,131.42,140.42,140.42,140.42,165.42,163.42,162.42,162.42,162.42,162.42,163.34,162.42,180.11,173.77,167.69,111.93,112.15
Sambalat,115.89,125.79,131.29,140.29,140.29,140.29,165.29,163.29,162.29,162.29,162.29,162.29,164.96,162.29,179.97,172.65,167.56,112.23,111.93
Nairobi,116.12,126.02,131.52,140.52,140.52,140.52,165.52,163.52,162.52,162.52,162.52,162.52,162.72,162.52,180.23,172.76,167.8,112.13,112.23
Keroka,116.35,126.25,131.75,140.75,140.75,140.75,165.75,163.75,162.75,162.75,162.75,162.75,,162.75,180.46,173.34,168.02,112.51,112.13
Kapedo,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,163.55,163.1,180.86,173.25,168.38,112.54,112.51
Turbo,116.63,126.53,132.03,141.03,141.03,141.03,166.03,164.03,163.03,163.03,163.03,163.03,164.12,163.03,180.76,173.57,168.3,113.5,112.54
Olenguruone,117.0,126.9,132.4,141.4,141.4,141.4,166.4,164.4,163.4,163.4,163.4,163.4,163.1,163.4,181.16,172.52,168.66,113.03,113.5
Kakamega,116.97,126.87,132.37,141.37,141.37,141.37,166.37,164.37,163.37,163.37,163.37,163.37,162.77,163.37,181.15,172.97,168.65,113.69,113.03
Tot,117.15,127.05,132.55,141.55,141.55,141.55,166.55,164.55,163.55,163.55,163.55,163.55,164.79,,181.32,173.62,168.82,113.55,113.69
Tenges,116.94,126.84,132.34,141.34,141.34,141.34,166.34,164.34,163.34,163.34,163.34,163.34,162.42,163.55,181.1,173.61,168.61,114.15,113.55
Lokitaung,117.23,127.13,132.63,141.63,141.63,141.63,166.63,164.63,163.63,163.63,163.63,163.63,168.49,,181.42,173.76,168.91,114.77,114.15
Barwessa,117.14,127.04,132.54,141.54,141.54,141.54,166.54,164.54,163.54,163.54,163.54,163.54,,163.34,181.31,174.15,168.8,118.45,114.77
Kaiboi,117.53,127.43,132.93,141.93,141.93,141.93,166.93,164.93,163.93,163.93,163.93,163.93,167.66,,181.73,174.16,169.19,117.54,118.45
Londiani,117.54,127.44,132.94,141.94,141.94,141.94,166.94,164.94,163.94,163.94,163.94,163.94,,163.63,181.74,,169.2,120.03,117.54
Kwale,118.51,128.41,133.91,142.91,142.91,142.91,167.91,165.91,164.91,164.91,164.91,164.91,165.53,,182.78,173.87,170.18,119.09,120.03
Sagana,118.04,127.94,133.44,142.44,142.44,142.44,167.44,165.44,164.44,164.44,164.44,164.44,,163.54,182.28,175.13,169.71,117.46,119.09
Sotik,118.7,128.6,134.1,143.1,143.1,143.1,168.1,166.1,165.1,165.1,165.1,165.1,163.14,,182.99,175.33,170.37,116.15,117.46
Lodosoit,118.56,128.46,133.96,142.96,142.96,142.96,167.96,165.96,164.96,164.96,164.96,164.96,162.74,163.93,182.84,175.19,170.23,119.71,116.15
Kobujoi,119.16,129.06,134.56,143.56,143.56,143.56,168.56,166.56,165.56,165.56,165.56,165.56,163.22,,183.48,175.78,170.82,121.32,119.71
Kapsowar,119.77,129.67,135.17,144.17,144.17,144.17,169.17,167.17,166.17,166.17,166.17,166.17,163.03,163.94,184.14,176.4,171.44,119.87,121.32
