town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Dadaab,101.29,111.19,116.69,125.69,125.69,125.69,145.69,144.69,143.69,143.69,143.69,143.69,149.03,143.69,166.43,166.63,158.65,101.29,101.29
Likoni Mainland,102.01,111.91,117.41,126.41,126.41,126.41,146.41,145.41,144.41,144.41,144.41,144.41,147.75,144.41,167.19,167.35,159.36,102.01,102.01
Busia,101.65,111.55,117.05,126.05,126.05,126.05,146.05,145.05,144.05,144.05,144.05,144.05,147.44,144.05,166.81,,159.01,101.65,101.65
Chuka,101.65,111.55,117.05,126.05,126.05,126.05,146.05,145.05,144.05,144.05,144.05,144.05,148.29,144.05,166.81,167.7,159.01,101.65,101.65
Nyeri,102.21,112.11,117.61,126.61,126.61,126.61,146.61,145.61,144.61,144.61,144.61,144.61,146.62,144.61,167.41,169.99,159.57,102.21,102.21
Kapenguria ,102.36,112.26,117.76,126.76,126.76,126.76,146.76,145.76,144.76,144.76,144.76,144.76,,144.76,167.57,167.55,159.72,102.36,102.36
Habaswein,102.77,112.67,118.17,127.17,127.17,127.17,147.17,146.17,145.17,145.17,145.17,145.17,147.06,145.17,168.01,168.1,160.13,102.76,102.76
Moi's Bridge,104.18,114.08,119.58,128.58,128.58,128.58,148.58,147.58,146.58,146.58,146.58,146.58,147.87,146.58,169.52,169.52,161.54,104.18,104.18
Liboi,104.6,114.5,120.0,129.0,129.0,129.0,149.0,148.0,147.0,147.0,147.0,147.0,147.57,147.0,169.97,169.93,161.96,104.59,104.59
Malindi,104.88,114.78,120.28,129.28,129.28,129.28,149.28,148.28,147.28,147.28,147.28,147.28,151.49,147.28,170.28,170.22,162.24,104.88,104.88
Nyamira,,,,,,,,,,,,,,,,,,103.54,103.54
Archers Post,,,,,,,,,,,,,147.51,,,,,103.54,103.54
Nyahururu,,,,,,,,,,,,,,,,,,103.78,103.78
