town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Dadaab,127.46,127.46,132.46,142.36,147.86,156.86,156.86,156.86,176.98,175.98,174.98,174.98,174.98,174.98,166.77,176.98,181.85,179.2,191.62
Likoni Mainland,128.17,128.17,133.17,143.07,148.57,157.57,157.57,157.57,177.69,176.69,175.69,175.69,175.69,175.69,167.49,177.69,180.59,179.92,192.39
Busia,127.82,127.82,132.82,142.72,148.22,157.22,157.22,157.22,177.34,176.34,175.34,175.34,175.34,175.34,169.47,177.34,180.26,179.56,192
Chuka,127.82,127.82,132.82,142.72,148.22,157.22,157.22,157.22,177.34,176.34,175.34,175.34,175.34,175.34,167.84,177.34,181.12,179.56,192
Nyeri,128.39,128.39,133.38,143.28,148.78,157.78,157.78,157.78,177.9,176.9,175.9,175.9,175.9,175.9,167.13,177.9,179.45,180.12,192.62
Kapenguria ,128.53,128.53,133.53,143.43,148.93,157.93,157.93,157.93,178.05,177.05,176.05,176.05,176.05,176.05,167.69,178.05,179.5,180.27,192.77
Habaswein,128.94,128.94,133.94,143.84,149.34,158.34,158.34,158.34,178.46,177.46,176.46,176.46,176.46,176.46,168.25,178.46,179.89,180.68,193.21
Moi's Bridge,130.36,130.36,135.35,145.25,150.75,159.75,159.75,159.75,179.86,178.86,177.86,177.86,177.86,177.86,169.66,179.86,180.71,182.09,194.73
Liboi,130.77,130.77,135.76,145.66,151.16,160.16,160.16,160.16,180.27,179.27,178.27,178.27,178.27,178.27,179.08,180.27,180.93,182.51,195.17
Malindi,131.05,131.05,136.05,145.95,151.45,160.45,160.45,160.45,180.57,179.57,178.57,178.57,178.57,178.57,170.36,180.57,184.85,182.79,195.47
Nyamira,129.72,129.72,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Archers Post,129.72,129.72,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,180.33,181.88,194.53
Nyahururu,129.95,129.95,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Burnt Forest,130.13,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
O'lessos,130,130.13,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,190.02,181.88,194.53
Kitale,130.24,130,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,180.4,181.88,194.53
Songor,130.45,130.24,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,180.39,181.88,194.53
Kitui,130.82,130.45,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,183.47,181.88,194.53
Endebes,130.73,130.82,135.13,145.03,150.53,159.53,159.53,159.53,179.5,178.5,177.5,177.5,177.5,177.5,169.47,179.5,179.5,181.88,194.53
Kaptarakwa,131.1,130.73,134.72,144.62,150.12,159.12,159.12,159.12,179.3,178.3,177.3,177.3,177.3,177.3,169.57,179.3,178.58,182.04,194.68
Etago,131.09,131.1,134.72,144.62,150.12,159.12,159.12,159.12,179.31,178.31,177.31,177.31,177.31,177.31,169.58,179.31,186.16,182.04,194.68
Nkubu,131.25,131.09,134.96,144.86,150.36,159.36,159.36,159.36,179.54,178.54,177.54,177.54,177.54,177.54,169.81,179.54,179.5,182.28,194.94
Mbale,131.05,131.25,135.14,145.04,150.54,159.54,159.54,159.54,179.72,178.72,177.72,177.72,177.72,177.72,171.12,179.72,180.57,182.46,195.13
Sambalat,131.35,131.05,135.01,144.91,150.41,159.41,159.41,159.41,179.59,178.59,177.59,177.59,177.59,177.59,169.99,179.59,182.26,182.33,195
Nairobi,131.24,131.35,135.24,145.14,150.64,159.64,159.64,159.64,179.82,178.82,177.82,177.82,177.82,177.82,170.09,179.82,179.5,182.56,195.24
Keroka,131.63,131.24,135.45,145.35,150.85,159.85,159.85,159.85,180.05,179.05,178.05,178.05,178.05,178.05,170.67,180.05,179.5,182.78,195.48
Kapedo,131.64,131.63,135.82,145.72,151.22,160.22,160.22,160.22,180.4,179.4,178.4,178.4,178.4,178.4,170.6,180.4,180.33,183.15,195.87
Turbo,132.61,131.64,135.74,145.64,151.14,160.14,160.14,160.14,180.33,179.33,178.33,178.33,178.33,178.33,170.91,180.33,180.9,183.07,195.78
Olenguruone,132.15,132.61,136.1,146,151.5,160.5,160.5,160.5,180.69,179.69,178.69,178.69,178.69,178.69,169.86,180.69,179.89,183.43,196.17
Kakamega,132.81,132.15,136.09,145.99,151.49,160.49,160.49,160.49,180.67,179.67,178.67,178.67,178.67,178.67,170.32,180.67,179.55,183.42,196.16
Tot,132.67,132.81,136.26,146.16,151.66,160.66,160.66,160.66,180.85,179.85,178.85,178.85,178.85,178.85,170.96,179.5,181.57,183.59,196.34
Tenges,133.26,132.67,136.06,145.96,151.46,160.46,160.46,160.46,180.64,179.64,178.64,178.64,178.64,178.64,170.95,180.85,179.72,183.37,196.12
Lokitaung,133.88,133.26,136.35,146.25,151.75,160.75,160.75,160.75,180.93,179.93,178.93,178.93,178.93,178.93,171.1,179.5,185.27,183.68,196.43
Barwessa,137.57,133.88,136.25,146.15,151.65,160.65,160.65,160.65,180.84,179.84,178.84,178.84,178.84,178.84,171.49,180.64,179.5,183.57,196.33
Kaiboi,136.65,137.57,136.63,146.53,152.03,161.03,161.03,161.03,181.22,180.22,179.22,179.22,179.22,179.22,171.5,179.5,184.44,183.96,196.75
Londiani,139.15,136.65,136.65,146.55,152.05,161.05,161.05,161.05,181.23,180.23,179.23,179.23,179.23,179.23,169.47,180.93,179.5,183.97,196.76
Kwale,138.2,139.15,137.61,147.51,153.01,162.01,162.01,162.01,182.21,181.21,180.21,180.21,180.21,180.21,171.2,179.5,182.33,184.94,197.8
Sagana,136.57,138.2,137.15,147.05,152.55,161.55,161.55,161.55,181.74,180.74,179.74,179.74,179.74,179.74,172.48,180.84,179.5,184.47,197.29
Sotik,135.27,136.57,137.81,147.71,153.21,162.21,162.21,162.21,182.4,181.4,180.4,180.4,180.4,180.4,172.67,179.5,179.92,185.13,198.01
Lodosoit,138.82,135.27,137.67,147.57,153.07,162.07,162.07,162.07,182.26,181.26,180.26,180.26,180.26,180.26,172.53,181.22,179.52,184.99,197.85
Kobujoi,140.42,138.82,138.26,148.16,153.66,162.66,162.66,162.66,182.85,181.85,180.85,180.85,180.85,180.85,173.12,179.5,180,185.59,198.49
Kapsowar,138.97,140.42,138.89,148.79,154.29,163.29,163.29,163.29,183.47,182.47,181.47,181.47,181.47,181.47,173.74,181.23,180.33,186.21,199.16
Thika,136.72,138.97,142.57,152.47,157.97,166.97,166.97,166.97,187.15,186.15,185.15,185.15,185.15,185.15,177.42,179.5,179.5,189.9,203.12
Naiberi,142.75,136.72,141.65,151.55,157.05,166.05,166.05,166.05,186.24,185.24,184.24,184.24,184.24,184.24,176.5,182.21,187.56,188.98,202.13
Bungoma,129.24,142.75,144.15,154.05,159.55,168.55,168.55,168.55,188.74,187.74,186.74,186.74,186.74,186.74,179.01,179.5,180.64,191.47,204.81
Iten,129.21,129.24,143.21,153.11,158.61,167.61,167.61,167.61,187.79,186.79,185.79,185.79,185.79,185.79,178.06,181.74,177.69,190.53,203.8
Magenche,129.2,129.21,141.58,151.48,156.98,165.98,165.98,165.98,186.16,185.16,184.16,184.16,184.16,184.16,176.43,179.5,180.05,188.9,202.05
Migori,129.29,129.2,140.27,150.17,155.67,164.67,164.67,164.67,184.85,183.85,182.85,182.85,182.85,182.85,175.12,182.4,179.81,187.6,200.65
