town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Dadaab,132.46,142.36,147.86,156.86,156.86,156.86,176.98,175.98,174.98,174.98,174.98,174.98,181.85,176.98,191.62,166.77,179.2,127.46,127.46
Likoni Mainland,133.17,143.07,148.57,157.57,157.57,157.57,177.69,176.69,175.69,175.69,175.69,175.69,180.59,177.69,192.39,167.49,179.92,128.17,128.17
Busia,132.82,142.72,148.22,157.22,157.22,157.22,177.34,176.34,175.34,175.34,175.34,175.34,180.26,177.34,192.0,,179.56,127.82,127.82
Chuka,132.82,142.72,148.22,157.22,157.22,157.22,177.34,176.34,175.34,175.34,175.34,175.34,181.12,177.34,192.0,167.84,179.56,127.82,127.82
Nyeri,133.38,143.28,148.78,157.78,157.78,157.78,177.9,176.9,175.9,175.9,175.9,175.9,179.45,177.9,192.62,167.13,180.12,128.39,128.39
Kapenguria ,133.53,143.43,148.93,157.93,157.93,157.93,178.05,177.05,176.05,176.05,176.05,176.05,,178.05,192.77,167.69,180.27,128.53,128.53
Habaswein,133.94,143.84,149.34,158.34,158.34,158.34,178.46,177.46,176.46,176.46,176.46,176.46,179.89,178.46,193.21,168.25,180.68,128.94,128.94
Moi's Bridge,135.35,145.25,150.75,159.75,159.75,159.75,179.86,178.86,177.86,177.86,177.86,177.86,180.71,179.86,194.73,169.66,182.09,130.36,130.36
Liboi,135.76,145.66,151.16,160.16,160.16,160.16,180.27,179.27,178.27,178.27,178.27,178.27,180.93,180.27,195.17,179.08,182.51,130.77,130.77
Malindi,136.05,145.95,151.45,160.45,160.45,160.45,180.57,179.57,178.57,178.57,178.57,178.57,184.85,180.57,195.47,170.36,182.79,131.05,131.05
Nyamira,,,,,,,,,,,,,,,,,,129.72,129.72
Archers Post,,,,,,,,,,,,,180.33,,,,,129.72,129.72
Nyahururu,,,,,,,,,,,,,,,,,,129.95,129.95
Burnt Forest,,,,,,,,,,,,,179.5,,,,,130.13,
O'lessos,,,,,,,,,,,,,190.02,,,,,130.0,130.13
Kitale,,,,,,,,,,,,,180.4,,,,,130.24,130.0
Songor,,,,,,,,,,,,,180.39,,,,,130.45,130.24
Kitui,,,,,,,,,,,,,183.47,,,,,130.82,130.45
Endebes,,,,,,,,,,,,,,,,,,130.73,130.82
Kaptarakwa,134.72,144.62,150.12,159.12,159.12,159.12,179.3,178.3,177.3,177.3,177.3,177.3,178.58,179.3,194.68,169.57,182.04,131.1,130.73
